record_id,model,candidate,scenario_id,source_profile,traceability_profile,entailment_profile,gate_profile,combination_rule,max_dimension_conflict_K,weakest_dimension_R,maximum_dimension_U,automatic_label,gate_reason,supported_dimension_count,opposed_dimension_count,conflict_dimension_count,insufficient_dimension_count,human_only_automatic_label,auditor_dependent_dimension_count,auditor_dependency_flag,parameter_stable,nominal_label_agreement_rate
run_dfe4e7ab7feb5520,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.647744,0.35225600000000007,supported,all four necessary design dimensions pass,4,0,0,0,supported,0,no,no,0.6363636363636364
run_ff292d61b6376df8,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.4608,0.5392,flagged_insufficient,one or more necessary design dimensions remain insufficient,3,0,0,1,flagged_insufficient,1,yes,no,0.9090909090909091
run_9750be7218796f0e,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.46752,0.5324800000000001,flagged_insufficient,one or more necessary design dimensions remain insufficient,3,0,0,1,flagged_insufficient,0,no,no,0.9090909090909091
run_7fd29e5e06251830,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_af7ea8733bc97d35,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.5033076974257252,0.4966923025742748,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,0,no,no,0.8181818181818182
run_09cb718c41fd3a33,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.557347286071237,0.44265271392876315,flagged_insufficient,one or more necessary design dimensions remain insufficient,3,0,0,1,flagged_insufficient,1,yes,no,0.5454545454545454
run_020148402fc4a275,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_5bd3e94ad1b2be23,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,0,no,yes,1.0
run_94b6811a613c1128,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.36980999999999997,0.63019,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,1,yes,no,0.9090909090909091
run_9a1f52cb9067d9cb,gemini,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.60170496,0.39829504000000004,supported,all four necessary design dimensions pass,4,0,0,0,supported,0,no,no,0.5454545454545454
run_cb003639c449e5af,gpt,Fe-Co-Ni-Cu-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.02493050156604384,0.5560899230675487,0.4439100769324514,flagged_insufficient,one or more necessary design dimensions remain insufficient,3,0,0,1,flagged_insufficient,2,yes,no,0.6363636363636364
run_6e30d5d8c6193e21,gpt,Fe-Co-Ni-Cu-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.1575,0.8425,flagged_insufficient,one or more necessary design dimensions remain insufficient,1,0,0,3,flagged_insufficient,0,no,yes,1.0
run_bcaadea5c838c750,gpt,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.07005892170571923,0.5227262775,0.47727372250000005,flagged_insufficient,one or more necessary design dimensions remain insufficient,3,0,0,1,flagged_insufficient,0,no,no,0.7272727272727273
run_51a24a9a75df8a5a,gpt,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.37804123499110587,0.6219587650088942,flagged_insufficient,one or more necessary design dimensions remain insufficient,3,0,0,1,flagged_insufficient,3,yes,no,0.9090909090909091
run_792c4b213139c5a4,gpt,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.028060216270413538,0.2806159817100325,0.7193840182899675,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,0,no,no,0.9090909090909091
run_c0e9ba95a285f559,gpt,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.13999999999999999,0.86,flagged_insufficient,one or more necessary design dimensions remain insufficient,1,0,0,3,flagged_insufficient,0,no,yes,1.0
run_1edd3c414c7f50b3,gpt,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.11044703455981923,0.322788456358155,0.6772115436418451,flagged_insufficient,one or more necessary design dimensions remain insufficient,1,0,0,3,flagged_insufficient,1,yes,yes,1.0
run_052fbddb7e7b0390,gpt,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0742109465761997,0.6308715519999999,0.36912844800000005,supported,all four necessary design dimensions pass,4,0,0,0,supported,0,no,no,0.6363636363636364
run_dbdf123b0d47f240,gpt,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.23740862499999998,0.7625913750000001,flagged_insufficient,one or more necessary design dimensions remain insufficient,1,0,0,3,flagged_insufficient,0,no,yes,1.0
run_2360feb965109230,gpt,Fe-Ni-Mn-Cu-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.3070040668137234,0.6929959331862766,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,no,0.9090909090909091
run_cea84eca5af08e21,qwen,Co-Ni-Mn-Cu-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.09,0.91,flagged_insufficient,one or more necessary design dimensions remain insufficient,2,0,0,2,flagged_insufficient,0,no,yes,1.0
run_1eccf111e49d796b,qwen,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.252,0.748,flagged_insufficient,one or more necessary design dimensions remain insufficient,1,0,0,3,flagged_insufficient,1,yes,yes,1.0
run_bb3c2ac72325b1b4,qwen,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.16799999999999998,0.8320000000000001,flagged_insufficient,one or more necessary design dimensions remain insufficient,1,0,0,3,flagged_insufficient,0,no,yes,1.0
run_7fc47d306302f222,qwen,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.10598997315894126,0.8940100268410588,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_b0e9fdfad699414b,qwen,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_cc37fae04a772d72,qwen,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.09,0.91,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_b6e86c2e9b7b3255,qwen,Fe-Co-Ni-Mn-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.1625234462613146,0.8374765537386855,flagged_insufficient,one or more necessary design dimensions remain insufficient,3,0,0,1,flagged_insufficient,3,yes,yes,1.0
run_be36c9c685335d71,qwen,Fe-Co-Ni-Cu-Zn,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_797f4ba4319fe372,qwen,Fe-Co-Ni-Mn-Cu,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.1719,0.8281000000000001,flagged_insufficient,one or more necessary design dimensions remain insufficient,0,0,0,4,flagged_insufficient,0,no,yes,1.0
run_353c84909b3aca98,qwen,Fe-Co-Ni-Mn-Cu,nominal,nominal,nominal,nominal,nominal,yager,0.0,0.0,1.0,flagged_insufficient,one or more necessary design dimensions remain insufficient,1,0,0,3,flagged_insufficient,0,no,yes,1.0
